Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-10-21,316.3311305,65900.09588,27.46617419,322.8880221,2.933921662,4129.931088,11.53268077,9.920747913,27.04140828,36035.09066
2021-10-20,303.7582576,64273.65275,25.92101282,308.5884303,2.797226893,3878.66545,10.72546358,9.395802394,26.04047781,34753.13322
2021-10-19,293.9725598,62020.71283,25.71031531,305.3023374,2.794212833,3747.077121,10.79733964,9.39855504,25.64628438,33847.61824
2021-10-18,304.4146091,61528.62159,26.52646619,310.7712328,2.869089511,3846.801551,11.16624938,9.559814125,25.92594678,34453.85192
2021-10-17,304.7033253,60890.2477,27.22365389,316.7635506,2.90696619,3828.579612,11.39246147,9.765671662,27.0038753,35121.17635
2021-10-16,301.289136,61627.8224,26.97697858,316.3292125,2.899315649,3864.853617,11.06897839,9.751683999,25.87838345,36014.29016
2021-10-15,303.5693915,57318.67394,26.68851341,314.780698,2.887453416,3777.70867,10.74611126,9.933660082,26.42544917,35324.98247
2021-10-14,297.4924373,57391.01291,25.53680302,304.6820871,2.964399946,3606.847456,10.33442372,9.395586655,24.66993582,34623.66847
2021-10-13,283.8123411,56030.30157,24.62974706,306.2659723,2.685746095,3491.989676,10.0445193,9.220104078,23.4473046,34872.72108
2021-10-12,290.6391956,57485.67996,25.23101493,302.8544795,2.695369867,3544.357241,10.32910193,9.602060746,24.15878196,35441.4873
2021-10-11,288.2406498,54711.15401,25.5775041,303.4698258,2.699432771,3417.523914,10.34328442,9.602347305,24.20632787,32634.77034
2021-10-10,307.2582029,54968.2166,27.43927339,330.2049688,2.905220952,3575.146293,10.93775591,10.18524928,25.12878964,33972.59529
2021-10-09,307.6114085,53963.00996,26.39903823,313.6461463,2.959726025,3564.581248,10.74701412,10.07790735,24.76628462,34618.63738
2021-10-08,305.7438058,53870.13373,26.89536374,316.5741325,2.800418623,3600.921403,10.84170084,10.28377596,25.56759709,32212.87077
2021-10-07,312.1083643,55318.57615,26.82819355,306.6984823,2.739498749,3576.055648,10.5656649,10.23766747,25.28132187,32058.40924
2021-10-06,307.7794664,51504.8629,27.24208255,309.8735355,2.942082111,3517.163853,10.81647375,10.48858431,25.65521377,31893.61742
2021-10-05,301.0843132,49233.16104,26.61055717,313.1916589,2.878144444,3386.491915,10.36541934,10.28415916,25.33484916,30790.8659
2021-10-04,310.6654913,48212.06064,27.56930415,326.5458792,2.817636291,3419.04719,10.81906145,10.71018112,25.99772303,31370.5554
